林家瑩     (3650755) 05:00
陳詩雅     (3652550) 12:00
李佳俐     (3619520) 19:00
林于馨     (3686713) 19:00
王逸嘉     (3650583) 19:00
賈宜蓁     (3650741) 19:30
蔡伊柔     (1398860) 19:30
董子瑄     (3800370) 19:30
高云珏     (3650590) 20:00
張法法     (3652111) 20:00
蔡亞恩     (3650734) 20:00
邱品涵     (3686707) 20:30
周佳郁     (3650735) 21:00
冼迪琦     (3687493) 21:00
林潔心     (3650718) 21:30
柏靈       (3650740) 22:00
潘姿怡     (2028726) 22:00
